Title,Author,Publication Title,DOI,Url
Programmed cell death process in freshwater <i>Microcystis aeruginosa</i> and marine <i>Phaeocystis globosa</i> induced by a plant derived allelochemical,"Xu, Caicai; Yu, Shumiao; Hu, Jing; Effiong, Kokoette; Ge, Zhiwei; Tang, Tao; Xiao, Xi",Science of The Total Environment,10.1016/j.scitotenv.2022.156055,https://www.sciencedirect.com/science/article/pii/S0048969722031527
3-Indoleacrylic acid from canola straw as a promising antialgal agent - Inhibition effect and mechanism on bloom-forming Prorocentrum donghaiense,"Effiong, Kokoette; Hu, Jing; Xu, Caicai; Zhang, Yiyi; Yu, Shumiao; Tang, Tao; Huang, Yuzhou; Lu, Yongliang; Li, Wei; Zeng, Jiangning; Xiao, Xi",Marine Pollution Bulletin,10.1016/j.marpolbul.2022.113657,https://www.sciencedirect.com/science/article/pii/S0025326X22003393
Natural Algaecide Sphingosines Identified in Hybrid Straw Decomposition Driven by White-Rot Fungi,"Hu, Jing; Kokoette, Effiong; Xu, Caicai; Huang, Shitao; Tang, Tao; Zhang, Yiyi; Liu, Muyuan; Huang, Yuzhou; Yu, Shumiao; Zhu, Jie; Holmer, Marianne; Xiao, Xi",Advanced Science,10.1002/advs.202300569,https://onlinelibrary.wiley.com/doi/abs/10.1002/advs.202300569
"Understanding the inhibitory mechanism of antialgal allelochemical flavonoids from genetic variations: Photosynthesis, toxin synthesis and nutrient utility","Yu, Shumiao; Li, Chao; Xu, Caicai; Effiong, Kokoette; Xiao, Xi",Ecotoxicology and Environmental Safety,10.1016/j.ecoenv.2019.03.097,https://linkinghub.elsevier.com/retrieve/pii/S0147651319303690
Inhibition effect of natural flavonoids on red tide alga Phaeocystis globosa and its quantitative structure-activity relationship,"Xiao, Xi; Li, Chao; Huang, Haomin; Lee, Ying Ping",Environmental Science and Pollution Research,10.1007/s11356-019-05482-7,http://link.springer.com/10.1007/s11356-019-05482-7
"Broad spectrum and species specificity of plant allelochemicals 1,2-benzenediol and 3-indoleacrylic acid against marine and freshwater harmful algae","Hu, Jing; Effiong, Kokoette; Liu, Muyuan; Xiao, Xi",Science of The Total Environment,10.1016/j.scitotenv.2023.166356,https://www.sciencedirect.com/science/article/pii/S0048969723049811
Toxicity of hydroquinone to different freshwater phototrophs is influenced by time of exposure and pH,"Bährs, Hanno; Putschew, Anke; Steinberg, Christian E. W.",Environmental Science and Pollution Research,10.1007/s11356-012-1132-5,https://doi.org/10.1007/s11356-012-1132-5
"On the control of Microcystis aeruginosa and Synechococccus species using an algicidal bacterium, Stenotrophomonas F6, and its algicidal compounds cyclo-(Gly-Pro) and hydroquinone","Lin, Shengqin; Geng, Mengxin; Liu, Xianglong; Tan, Jing; Yang, Hong",Journal of Applied Phycology,10.1007/s10811-015-0549-x,https://doi.org/10.1007/s10811-015-0549-x
Plastoquinone synthesis inhibition by tetrabromo biphenyldiol as a widespread algicidal mechanism of marine bacteria,"Zhang, Zenghu; Li, Dehai; Xie, Ruize; Guo, Ruoyu; Nair, Shailesh; Han, Huan; Zhang, Guojian; Zhao, Qun; Zhang, Lihua; Jiao, Nianzhi; Zhang, Yongyu",The ISME Journal,10.1038/s41396-023-01510-0,https://www.nature.com/articles/s41396-023-01510-0
"Thiazole Amides, A Novel Class of Algaecides against Freshwater Harmful Algae","Wang, Ying; Liu, Qisheng; Wei, Zhigang; Liu, Na; Li, Yajuan; Li, Duo; Jin, Zhong; Xu, Xiaohua",Scientific Reports,10.1038/s41598-018-26911-6,https://www.nature.com/articles/s41598-018-26911-6
Study on the mechanism of allelopathic influence on cyanobacteria and chlorophytes by submerged macrophyte (Myriophyllum spicatum) and its secretion,"Zhu, Junying; Liu, Biyun; Wang, Jing; Gao, Yunni; Wu, Zhenbin",Aquatic Toxicology,10.1016/j.aquatox.2010.02.011,https://www.sciencedirect.com/science/article/pii/S0166445X10000512
Evaluating the effects of allelochemical ferulic acid on Microcystis aeruginosa by pulse-amplitude-modulated (PAM) fluorometry and flow cytometry,"Wang, Rui; Hua, Ming; Yu, Yang; Zhang, Min; Xian, Qi-Ming; Yin, Da-Qiang",Chemosphere,10.1016/j.chemosphere.2015.12.109,https://www.sciencedirect.com/science/article/pii/S0045653515305646
Algicidal activity of Salvia miltiorrhiza Bung on Microcystis aeruginosa—Towards identification of algicidal substance and determination of inhibition mechanism,"Zhang, Chao; Yi, Yang-Lei; Hao, Kai; Liu, Guang-Lu; Wang, Gao-Xue",Chemosphere,10.1016/j.chemosphere.2013.05.068,https://www.sciencedirect.com/science/article/pii/S004565351300814X
The allelopathic algicides sanguinarine and berberine reduced the dominance of Microcystis in competition with Chlorella,"Duan, Pengfei; Wei, Mengjiao; Li, Ming; Gao, Li",Results in Engineering,10.1016/j.rineng.2022.100714,https://www.sciencedirect.com/science/article/pii/S259012302200384X
A pair of chiral flavonolignans as novel anti-cyanobacterial allelochemicals derived from barley straw (Hordeum vulgare): characterization and comparison of their anti-cyanobacterial activities,"Xiao, Xi; Huang, Haomin; Ge, Zhiwei; Rounge, Trine B.; Shi, Jiyan; Xu, Xinhua; Li, Ruobing; Chen, Yingxu",Environmental Microbiology,10.1111/1462-2920.12226,https://onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.12226
Inhibitory effects of sanguinarine against the cyanobacterium Microcystis aeruginosa NIES-843 and possible mechanisms of action,"Shao, Jihai; Liu, Deming; Gong, Daoxin; Zeng, Qingru; Yan, Zhiyong; Gu, Ji-Dong",Aquatic Toxicology,10.1016/j.aquatox.2013.08.019,https://www.sciencedirect.com/science/article/pii/S0166445X13002270
Inhibition of three algae species using chemicals released from barley straw,"Murray, D.; Jefferson, B.; Jarvis, P.; Parsons, S.A.",Environmental Technology,10.1080/09593331003663294,https://doi.org/10.1080/09593331003663294
"Gramine-induced growth inhibition, oxidative damage and antioxidant responses in freshwater cyanobacterium Microcystis aeruginosa","Hong, Yu; Hu, Hong-Ying; Xie, Xing; Sakoda, Akiyoshi; Sagehashi, Masaki; Li, Feng-Min",Aquatic Toxicology,10.1016/j.aquatox.2008.11.014,https://www.sciencedirect.com/science/article/pii/S0166445X08003883
Comparative biotoxicity of N-Phenyl-1-naphthylamine and N-Phenyl-2-naphthylamine on cyanobacteria Microcystis aeruginosa,"Cheng, Long; He, Yan; Tian, Yun; Liu, Biyun; Zhang, Yongyuan; Zhou, Qiaohong; Wu, Zhenbin",Chemosphere,10.1016/j.chemosphere.2017.02.110,https://www.sciencedirect.com/science/article/pii/S0045653517302989
Toxic mechanism of eucalyptol and β-cyclocitral on Chlamydomonas reinhardtii by inducing programmed cell death,"Sun, Qing; Zhou, Min; Zuo, Zhaojiang",Journal of Hazardous Materials,10.1016/j.jhazmat.2019.121910,https://www.sciencedirect.com/science/article/pii/S0304389419318643
